DATE,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
1 Jun 2010,0.0173,0.0779,2.2183,0,0,0,0,0,0
2 Jun 2010,0.0174,0.0786,2.2339,0,0,0,0,0,0
3 Jun 2010,0.0172,0.0774,2.2375,0,0,0,0,0,0
4 Jun 2010,0.0172,0.0776,2.2347,0,0,0,0,0,0
7 Jun 2010,0.0176,0.079,2.2091,0,0,0,0,0,0
8 Jun 2010,0.0175,0.0786,2.2061,0,0,0,0,0,0
9 Jun 2010,0.0175,0.0789,2.2035,0,0,0,0,0,0
10 Jun 2010,0.0175,0.0783,2.2489,0,0,0,0,0,0
11 Jun 2010,0.0173,0.0777,2.2381,0,0,0,0,0,0
14 Jun 2010,0.0172,0.0774,2.2616,0,0,0,0,0,0
15 Jun 2010,0.0172,0.0771,2.2611,0,0,0,0,0,0
16 Jun 2010,0.0172,0.0772,2.2693,0,0,0,0,0,0
17 Jun 2010,0.0172,0.0775,2.279,0,0,0,0,0,0
18 Jun 2010,0.0172,0.077,2.2975,0,0,0,0,0,0
21 Jun 2010,0.0168,0.0757,2.2708,49.6745,6.9999,87.0293,3.7364,4.3838,0.5627
22 Jun 2010,0.0169,0.0758,2.2662,49.7134,6.9644,87.0998,3.7459,4.352,0.5637
23 Jun 2010,0.017,0.0765,2.2745,50.1874,6.991,87.9302,3.7772,4.3703,0.5688
24 Jun 2010,0.0169,0.0762,2.2923,50.0009,6.9635,87.5999,3.7676,4.3476,0.5666
25 Jun 2010,0.0171,0.0768,2.286,50.3972,6.9779,88.2954,3.7997,4.3661,0.5706
28 Jun 2010,0.017,0.0762,2.297,50.1562,6.9958,87.8733,3.7793,4.3717,0.568
29 Jun 2010,0.0169,0.0765,2.2734,50.2185,6.9562,87.9823,3.7818,4.3471,0.5681
30 Jun 2010,0.0171,0.0771,2.2565,50.6225,6.9836,88.6901,3.81,4.3663,0.572
1 Jul 2010,0.0171,0.0771,2.2167,50.5914,6.9614,88.6381,3.8032,4.3507,0.5715
2 Jul 2010,0.0169,0.0752,2.2358,50.0863,6.9163,87.7508,3.7652,4.3217,0.5658
5 Jul 2010,0.0169,0.0752,2.2207,50.0397,6.8781,87.6668,3.7661,4.2994,0.5657
6 Jul 2010,0.0169,0.0752,2.2095,50.0242,6.8834,87.6395,3.7627,4.302,0.5654
7 Jul 2010,0.0168,0.0759,2.2256,49.9232,6.8257,87.4674,3.7507,4.266,0.5642
8 Jul 2010,0.0168,0.0755,2.2636,49.7833,6.8363,87.2199,3.738,4.2721,0.5626
9 Jul 2010,0.0167,0.0747,2.2741,49.69,6.8414,87.0589,3.731,4.2778,0.5612
12 Jul 2010,0.0168,0.0755,2.2682,49.7289,6.8611,87.1223,3.7296,4.2903,0.5616
13 Jul 2010,0.0168,0.0748,2.2797,49.7988,6.8348,87.2471,3.7327,4.2677,0.5625
14 Jul 2010,0.0167,0.0759,2.2925,49.6668,6.8512,87.0181,3.7249,4.2821,0.561
15 Jul 2010,0.0168,0.075,2.3132,49.7833,6.8568,87.2199,3.7424,4.287,0.5623
16 Jul 2010,0.0168,0.075,2.3122,49.8299,6.8654,87.304,3.7459,4.2904,0.5629
19 Jul 2010,0.0169,0.0754,2.2789,50.1407,6.8587,87.8437,3.7693,4.2883,0.5664
20 Jul 2010,0.0169,0.0758,2.2909,50.0164,6.8196,87.6283,3.7679,4.2631,0.5648
21 Jul 2010,0.0168,0.0758,2.3016,49.962,6.8064,87.5306,3.7558,4.2602,0.5642
22 Jul 2010,0.0169,0.0752,2.2913,50.0708,6.8097,87.7236,3.764,4.2587,0.5654
23 Jul 2010,0.0168,0.0755,2.3167,49.7678,6.8088,87.1963,3.7434,4.2555,0.5616
26 Jul 2010,0.0167,0.0745,2.3242,49.6201,6.8125,86.9352,3.7389,4.2581,0.56
27 Jul 2010,0.0167,0.0755,2.3397,49.5424,6.8032,86.7979,3.7221,4.2514,0.559
28 Jul 2010,0.0167,0.0757,2.3285,49.6434,6.8368,86.9761,3.7319,4.2732,0.5602
29 Jul 2010,0.0168,0.0759,2.3156,49.69,6.8462,87.0566,3.7332,4.2824,0.5607
30 Jul 2010,0.0167,0.0757,2.2985,49.5346,6.8504,86.7843,3.7194,4.2828,0.5591
2 Aug 2010,0.0166,0.0738,2.3045,49.1461,6.8527,86.1036,3.7075,4.286,0.5552
3 Aug 2010,0.0166,0.0739,2.316,49.1656,6.8509,86.1353,3.6848,4.2813,0.5557
4 Aug 2010,0.0166,0.0739,2.3285,49.2394,6.8427,86.2494,3.6951,4.2768,0.5567
5 Aug 2010,0.0166,0.0752,2.3109,49.2627,6.8559,86.3055,3.6968,4.2852,0.558
6 Aug 2010,0.0165,0.0743,2.2939,48.9597,6.8333,85.7688,3.6741,4.2675,0.5552
9 Aug 2010,0.0165,0.0735,2.3017,48.8586,6.8261,85.5918,3.6665,4.265,0.5545
10 Aug 2010,0.0165,0.074,2.2841,49.0296,6.8228,85.8959,3.6793,4.2649,0.5563
11 Aug 2010,0.0166,0.074,2.276,49.1306,6.7997,86.0764,3.6847,4.2484,0.5568
12 Aug 2010,0.0167,0.0745,2.271,49.5191,6.7776,86.7512,3.7139,4.2343,0.5601
13 Aug 2010,0.0166,0.074,2.2575,49.1617,6.7908,86.125,3.6909,4.2459,0.5551
16 Aug 2010,0.0167,0.0744,2.2376,49.4647,6.7969,85.9794,3.7163,4.2504,0.5583
17 Aug 2010,0.0166,0.074,2.2412,49.1928,6.7853,86.1794,3.6946,4.2424,0.5553
18 Aug 2010,0.0163,0.074,2.2481,49.1462,6.7749,86.0381,3.6902,4.2332,0.5552
19 Aug 2010,0.0161,0.0732,2.2288,48.6488,6.7665,85.2312,3.6529,4.2022,0.5497
20 Aug 2010,0.0161,0.0733,2.2176,48.7265,6.7322,85.3708,3.6587,4.2089,0.5507
23 Aug 2010,0.016,0.0732,2.2109,48.6178,6.7099,85.1791,3.6505,4.1956,0.5492
24 Aug 2010,0.0161,0.0744,2.2077,48.7266,6.7084,85.3708,3.664,4.1943,0.5503
25 Aug 2010,0.0161,0.0745,2.2101,48.8354,6.704,85.5649,3.669,4.193,0.5509
26 Aug 2010,0.0161,0.0744,2.2074,48.7965,6.713,85.4934,3.6661,4.1975,0.5505
27 Aug 2010,0.0161,0.0746,2.2165,48.8586,6.7101,85.6069,3.6815,4.195,0.5512
30 Aug 2010,0.0161,0.0744,2.2301,48.7577,6.7033,85.4323,3.6632,4.1892,0.5501
1 Sep 2010,0.0161,0.0739,2.2039,48.7265,6.6848,85.3743,3.6673,4.1786,0.5495
2 Sep 2010,0.0161,0.0732,2.2306,48.6955,6.6962,85.3117,3.6649,4.1838,0.5492
3 Sep 2010,0.016,0.0737,2.2286,48.5323,6.6906,85.0236,3.6505,4.1815,0.5474
6 Sep 2010,0.016,0.0735,2.2504,48.3769,6.6882,84.7582,3.6388,4.1821,0.5458
7 Sep 2010,0.016,0.0737,2.2567,48.4934,6.6956,84.9578,3.6348,4.186,0.5473
8 Sep 2010,0.016,0.0734,2.2329,48.4157,6.6542,84.8321,3.6206,4.162,0.5461
9 Sep 2010,0.016,0.0732,2.2456,48.3536,6.6856,84.7128,3.6307,4.1804,0.5454
13 Sep 2010,0.0159,0.073,2.2644,48.1904,6.6998,84.4246,3.6206,4.189,0.5435
14 Sep 2010,0.0159,0.0731,2.2632,48.2448,6.698,84.5245,3.6246,4.1836,0.5441
15 Sep 2010,0.016,0.0731,2.2809,48.4701,6.7213,84.917,3.6331,4.2026,0.5466
17 Sep 2010,0.0159,0.0733,2.2635,48.2914,6.7523,84.6039,3.621,4.2206,0.5447
20 Sep 2010,0.0159,0.0727,2.2595,48.2448,6.7897,84.5199,3.6268,4.2437,0.5443
21 Sep 2010,0.0159,0.0732,2.2582,48.1919,6.8055,84.4296,3.6122,4.2605,0.541
22 Sep 2010,0.0159,0.0731,2.2786,48.0505,6.7919,84.1819,3.5954,4.2405,0.5421
23 Sep 2010,0.0159,0.073,2.2636,48.0427,6.7714,84.1683,3.599,4.2317,0.5421
24 Sep 2010,0.0159,0.0732,2.2594,48.1438,6.7961,84.3429,3.6023,4.2458,0.5433
27 Sep 2010,0.0159,0.0725,2.2688,48.0194,6.8386,84.1297,3.588,4.2723,0.5423
