date,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND
1 Jun 2010,10.0861,7.0643,10.2072,0.2714,0.0356,87.4875,4.8372,0.4805,2.3454
2 Jun 2010,10.1581,7.0901,10.2502,0.2721,0.0358,88.2608,4.8422,0.4845,2.3385
3 Jun 2010,10.0399,7.0471,10.185,0.2712,0.0356,87.1844,4.7924,0.4787,2.316
4 Jun 2010,10.0368,7.0429,10.169,0.2729,0.0356,87.1942,4.7912,0.4788,2.3306
7 Jun 2010,10.2112,7.1211,10.2822,0.2697,0.0359,88.9526,4.8758,0.4883,2.3502
8 Jun 2010,10.1747,7.1118,10.2619,0.2692,0.0359,88.5526,4.8287,0.4861,2.3432
9 Jun 2010,10.1884,7.1343,10.2645,0.2677,0.036,88.6874,4.83,0.487,2.3471
10 Jun 2010,10.1827,7.1079,10.2229,0.2629,0.0359,88.411,4.8241,0.4855,2.3465
11 Jun 2010,10.1017,7.0525,10.1361,0.2639,0.0356,87.4075,4.7836,0.48,2.3337
14 Jun 2010,10.0663,6.9994,10.1154,0.2665,0.0356,87.0475,4.7737,0.4777,2.3344
15 Jun 2010,10.0524,7.0286,10.0999,0.2667,0.0355,86.9107,4.7817,0.477,2.3313
16 Jun 2010,10.0486,7.0561,10.1047,0.2689,0.0356,86.8409,4.7835,0.4766,2.337
17 Jun 2010,10.0909,7.087,10.1455,0.269,0.0357,87.2875,4.813,0.4792,2.343
18 Jun 2010,10.047,7.0966,10.1306,0.2702,0.0357,86.8475,4.8031,0.4769,2.346
21 Jun 2010,9.8657,7.0245,10.0492,0.2718,0.0355,85.2343,4.7177,0.4692,2.3217
22 Jun 2010,9.8979,7.0223,10.0616,0.2708,0.0355,85.301,4.7204,0.4697,2.326
23 Jun 2010,9.9753,7.0406,10.0944,0.2725,0.0357,86.1108,4.7493,0.4742,2.3295
24 Jun 2010,9.9321,6.9832,10.0536,0.2719,0.0356,85.7943,4.7317,0.4722,2.3212
25 Jun 2010,9.9954,6.9772,10.1052,0.269,0.0358,86.4858,4.7692,0.4774,2.3285
28 Jun 2010,9.9707,6.9754,10.0888,0.269,0.0358,86.0724,4.7464,0.4751,2.3324
29 Jun 2010,9.9753,6.9584,10.0725,0.2663,0.0358,86.1642,4.7522,0.4754,2.3338
30 Jun 2010,10.0401,7.0144,10.1227,0.2655,0.0359,86.8597,4.8051,0.4797,2.3242
1 Jul 2010,10.0339,6.9846,10.0872,0.2633,0.0358,86.8029,4.8146,0.4799,2.3225
2 Jul 2010,9.946,6.9439,10.0112,0.2641,0.0356,85.9375,4.7746,0.4759,2.3166
5 Jul 2010,9.9291,6.9285,9.9907,0.2635,0.0355,85.8609,4.8042,0.4753,2.3121
6 Jul 2010,9.9214,6.9204,9.9983,0.2626,0.0355,85.8457,4.8027,0.475,2.3118
7 Jul 2010,9.8968,6.9071,9.9829,0.2628,0.0354,85.6724,4.8001,0.4739,2.3103
8 Jul 2010,9.8767,6.9089,9.9827,0.2643,0.0353,85.421,4.7918,0.4727,2.3025
9 Jul 2010,9.8688,6.9184,9.98,0.2674,0.0353,85.2621,4.7828,0.4721,2.3189
12 Jul 2010,9.8872,6.9234,9.9875,0.2671,0.0354,85.339,4.7872,0.4725,2.3176
13 Jul 2010,9.8965,6.9193,9.9771,0.2642,0.0354,85.4465,4.776,0.473,2.3174
14 Jul 2010,9.8856,6.9058,9.9434,0.2666,0.0353,85.2324,4.7675,0.4719,2.3218
15 Jul 2010,9.9226,6.9175,9.974,0.2665,0.0354,85.4153,4.802,0.4728,2.3296
16 Jul 2010,9.9473,6.924,9.9838,0.2669,0.0354,85.4964,4.8255,0.4733,2.3312
19 Jul 2010,9.9907,6.9447,10.0317,0.2649,0.0356,86.0285,4.8814,0.4759,2.337
20 Jul 2010,9.9644,6.9372,10.0216,0.2664,0.0355,85.8164,4.8677,0.4748,2.3438
21 Jul 2010,9.9566,6.9099,10.0047,0.2671,0.0355,85.7276,4.8534,0.4743,2.3426
22 Jul 2010,9.9691,6.9112,10.0065,0.2667,0.0355,85.9097,4.8527,0.4753,2.3412
23 Jul 2010,9.9272,6.9019,9.9714,0.2673,0.0354,85.3909,4.8339,0.4726,2.3325
26 Jul 2010,9.9023,6.906,9.9408,0.2672,0.0353,85.1523,4.8307,0.471,2.3381
27 Jul 2010,9.8976,6.9387,9.9597,0.2697,0.0354,85.0065,4.8209,0.4705,2.3419
28 Jul 2010,9.91,6.9624,9.9784,0.2692,0.0355,85.1833,4.8409,0.4712,2.342
29 Jul 2010,9.9071,6.9822,9.9838,0.2697,0.0355,85.2633,4.8436,0.4719,2.3413
30 Jul 2010,9.8853,6.9909,9.9698,0.2693,0.0356,84.9932,4.8501,0.4706,2.34
2 Aug 2010,9.8184,6.9758,9.9459,0.2698,0.0354,84.3266,4.8023,0.4669,2.3364
3 Aug 2010,9.8223,6.9964,9.9556,0.2704,0.0354,84.3644,4.8174,0.4671,2.3382
4 Aug 2010,9.8462,7.0115,9.9654,0.2707,0.0354,84.4832,4.8589,0.4678,2.3428
5 Aug 2010,9.8739,7.0078,9.9581,0.271,0.0354,84.5232,4.8599,0.4679,2.341
6 Aug 2010,9.8254,7.0175,9.9216,0.2705,0.0353,84.0021,4.8244,0.4654,2.33
9 Aug 2010,9.8388,7.0014,9.9203,0.2714,0.0352,83.8344,4.8072,0.4647,2.335
10 Aug 2010,9.8655,7.0026,9.9343,0.2698,0.0352,84.1311,4.8423,0.4658,2.3322
11 Aug 2010,9.9029,7.0287,9.9428,0.2688,0.0353,84.3044,4.8292,0.4668,2.3317
12 Aug 2010,9.9734,7.0087,9.9771,0.2669,0.0354,84.9609,4.8674,0.4699,2.3361
13 Aug 2010,9.9014,6.9958,9.9151,0.2672,0.0352,84.351,4.7902,0.466,2.3195
16 Aug 2010,9.9922,7.0033,9.9634,0.2663,0.0354,84.854,4.8127,0.4678,2.3308
17 Aug 2010,9.9748,7.0072,9.923,0.2689,0.0353,84.4077,4.7875,0.4659,2.3324
18 Aug 2010,9.9842,6.9917,9.9057,0.2686,0.0353,84.3277,4.7947,0.4658,2.3334
19 Aug 2010,9.9192,6.9753,9.8178,0.2669,0.0349,83.4678,4.7483,0.461,2.3107
