date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
1 Jun 2010,3.281,4.7496,4.021,3.6051,2.8384,2.7432,3.1349,2.3388,42.1146
2 Jun 2010,3.31,4.8614,4.0423,3.6197,2.8607,2.7538,3.1382,2.3425,42.4675
3 Jun 2010,3.2695,4.8019,4.0185,3.5471,2.8364,2.7693,3.1541,2.3319,41.9788
4 Jun 2010,3.27,4.786,3.9825,3.5279,2.8336,2.7592,3.1424,2.3306,41.9685
7 Jun 2010,3.3355,4.813,3.9681,3.6584,2.8608,2.7118,3.1327,2.3501,42.7801
8 Jun 2010,3.3205,4.8154,3.9745,3.6224,2.8607,2.7215,3.1449,2.3469,42.5514
9 Jun 2010,3.326,4.7988,3.9744,3.6368,2.8836,2.7328,3.1678,2.3481,42.6145
10 Jun 2010,3.3155,4.833,3.9897,3.6362,2.8974,2.7802,3.1874,2.3465,42.514
11 Jun 2010,3.278,4.8226,3.9669,3.5825,2.868,2.7753,3.1733,2.3337,42.0747
14 Jun 2010,3.2645,4.7675,3.9768,3.5534,2.8518,2.7947,3.1677,2.3344,41.8928
15 Jun 2010,3.2595,4.8118,3.9831,3.5621,2.859,2.7952,3.162,2.3313,41.8271
16 Jun 2010,3.2567,4.8245,4.0118,3.5587,2.8825,2.8156,3.1738,2.337,41.8009
17 Jun 2010,3.2735,4.8147,4.0176,3.5882,2.8943,2.8146,3.1856,2.343,42.0413
18 Jun 2010,3.257,4.8288,4.0401,3.5838,2.9325,2.8354,3.1704,2.346,41.8224
21 Jun 2010,3.1965,4.7505,3.9681,3.5217,2.8934,2.8139,3.138,2.3217,41.1387
22 Jun 2010,3.199,4.7236,3.9365,3.5181,2.8812,2.8094,3.1236,2.3184,41.1436
23 Jun 2010,3.2295,4.7864,3.9605,3.5685,2.913,2.815,3.137,2.3295,41.514
24 Jun 2010,3.2175,4.8253,3.9725,3.5808,2.9155,2.8168,3.096,2.3212,41.3704
25 Jun 2010,3.243,4.847,3.9959,3.6235,2.9431,2.7979,3.1103,2.3285,41.6929
28 Jun 2010,3.2275,4.8542,3.9968,3.6098,2.9544,2.8268,3.1172,2.3324,41.4606
29 Jun 2010,3.2315,4.8758,3.9636,3.6354,2.9722,2.8009,3.1148,2.3246,41.5245
30 Jun 2010,3.2575,4.9069,3.9785,3.6787,3.0088,2.7715,3.0915,2.3242,41.8385
1 Jul 2010,3.2555,4.86,3.973,3.6921,3.0336,2.7113,3.0506,2.3225,41.7967
2 Jul 2010,3.223,4.8906,4.0329,3.6598,3.0351,2.7325,3.0421,2.3166,41.3746
5 Jul 2010,3.22,4.8884,4.0376,3.6635,3.0239,2.7145,3.0376,2.3121,41.3213
6 Jul 2010,3.219,4.8739,4.035,3.6736,3.0352,2.6958,3.0269,2.3118,41.3211
7 Jul 2010,3.2125,4.8587,4.045,3.6698,3.0225,2.7255,3.0419,2.3103,41.2237
8 Jul 2010,3.2035,4.866,4.0535,3.6255,3.0454,2.7973,3.0638,2.3153,41.1256
9 Jul 2010,3.1975,4.8453,4.0562,3.6057,3.0438,2.8047,3.0664,2.3189,41.0705
12 Jul 2010,3.2,4.8074,4.0315,3.5921,3.0283,2.8026,3.1026,2.3175,41.1756
13 Jul 2010,3.2045,4.8156,4.0349,3.6203,3.0169,2.7972,3.0918,2.3174,41.2093
14 Jul 2010,3.196,4.8634,4.0652,3.5914,3.0227,2.8186,3.0996,2.3218,41.1132
15 Jul 2010,3.2035,4.8941,4.0856,3.6311,3.0481,2.8264,3.0977,2.3296,41.2206
16 Jul 2010,3.2065,4.9449,4.1407,3.6844,3.0747,2.8118,3.0793,2.3312,41.2664
19 Jul 2010,3.2265,4.9385,4.1632,3.723,3.0808,2.7974,3.0581,2.337,41.4957
20 Jul 2010,3.2185,4.9098,4.172,3.6965,3.054,2.8228,3.0606,2.3438,41.392
21 Jul 2010,3.215,4.9098,4.1416,3.6903,3.0539,2.8335,3.0841,2.3426,41.3313
22 Jul 2010,3.222,4.8908,4.1153,3.7244,3.0721,2.8191,3.0684,2.3412,41.4283
23 Jul 2010,3.2025,4.8949,4.1272,3.6882,3.0687,2.8545,3.0808,2.3325,41.1926
26 Jul 2010,3.193,4.9365,4.1281,3.6427,3.0297,2.8579,3.0807,2.3384,41.1093
